1;-4.1
2;7.1;3140
6;16.2;6520
10;19.8;7720
14;24.7;7577
18;22.1;7888
22;29.9;7747
26;27.8;8286
30;25.1;7946
34;23.2;7615
38;24.0;8417
42;29.7;8147
46;21.9;9046
50;20.3;9401
54;30.6;10097
58;31.5;10469
62;33.1;10805
66;31.0;10719
70;28.1;10462
74;29.8;10538
78;31.5;10487
82;35.1;10601
86;30.7;10072
90;30.9;10712
94;30.4;10691
98;25.8;10620
102;31.2;10725
106;31.7;10595
110;31.8;10662
114;33.5;9362
118;31.7;10699
122;33.0;9888
126;39.8;10170
130;41.7;10336
134;40.9;10150
138;38.5;10532
142;37.8;10565
146;38.3;10417
150;39.2;10544
154;38.2;10698
158;38.9;10160
162;37.5;9917
166;38.0;10738
170;36.9;9701
174;40.4;10589
178;40.5;10696
182;42.1;9901
186;45.6;10633
190;45.3;10647
194;39.9;10652
198;38.4;10682
202;39.8;10632
206;44.1;10654
210;42.5;10588
214;41.6;10667
218;40.2;10684
222;43.2;10531
226;44.1;10690
230;42.5;10828
234;43.0;10770
238;42.3;10825
242;45.2;10862
246;42.5;10898
250;41.3;10980
254;42.9;10810
258;39.6;10811
262;39.6;10802
266;42.7;10914
270;41.5;10915
274;44.5;10891
278;39.7;10892
282;44.1;10964
286;41.3;10987
290;42.6;10982
294;42.2;11066
298;41.5;11068
302;42.6;11120
306;41.1;11130
310;41.5;11132
314;44.5;11091
318;42.9;11119
322;46.1;11036
326;41.0;11088
330;41.9;11068
334;42.1;10986
338;43.4;10985
342;40.9;10992
346;43.3;10966
350;43.9;10996
354;41.5;10999
358;44.5;10982
362;43.4;10966
366;41.6;10982
370;42.3;11022
374;43.3;11006
378;38.7;11017
382;43.5;11007
386;41.9;11044
390;47.3;11019
394;45.7;11065
398;43.5;11097
402;42.8;11097
406;42.0;11038
410;41.0;11042
414;45.0;11083
418;43.7;11078
422;42.8;11056
426;38.7;11051
430;40.4;11081
434;42.2;11072
438;42.2;11067
442;38.5;11109
446;40.1;11098
450;40.5;11114
454;42.7;11084
458;44.9;11089
462;42.9;11087
466;39.5;11048
470;43.9;11036
474;43.5;11027
478;43.6;11000
482;42.5;10975
486;41.4;10973
490;46.2;11043
494;45.8;10981
498;45.9;10973
